NOP: 45
NINT: 14
0 228 2
228 323 3
323 441 4
441 652 5
652 736 6
736 815 7
815 1012 8
1012 1142 7
1142 1178 6
1178 1364 5
1364 1603 4
1603 1743 3
1743 1868 2
1868 300000 1
1 63 63
2 93 93
3 98 98
4 90 124
5 12 93
6 82 164
7 91 109
8 67 182
9 44 64
10 22 91
11 8 93
12 45 182
13 94 348
14 57 182
15 61 308
16 50 458
17 81 252
18 97 157
19 49 475
20 70 76
21 62 532
22 43 120
23 17 276
24 45 507
25 27 381
26 44 413
27 25 416
28 54 202
29 89 727
30 24 380
31 64 230
32 4 95
33 44 316
34 41 498
35 47 159
36 51 943
37 45 289
38 70 745
39 9 499
40 75 547
41 73 312
42 37 860
43 37 828
44 64 989
45 1 704
