NOP: 60
NINT: 19
0 192 1
192 268 2
268 351 3
351 530 4
530 783 5
783 873 6
873 1069 7
1069 1335 8
1335 1460 9
1460 1715 10
1715 1970 9
1970 2234 8
2234 2352 7
2352 2389 6
2389 2484 5
2484 2581 4
2581 2669 3
2669 2763 2
2763 300000 1
1 49 49
2 41 41
3 56 57
4 64 66
5 11 104
6 34 38
7 79 116
8 39 137
9 43 115
10 3 193
11 92 167
12 32 135
13 6 192
14 18 270
15 57 272
16 4 66
17 6 98
18 60 87
19 86 320
20 19 181
21 44 133
22 35 134
23 2 10
24 95 217
25 73 88
26 7 322
27 87 88
28 46 265
29 28 39
30 83 483
31 32 278
32 14 124
33 82 558
34 57 510
35 84 265
36 52 510
37 52 625
38 10 299
39 22 626
40 14 722
41 85 837
42 5 215
43 15 237
44 3 249
45 63 176
46 90 183
47 25 900
48 78 311
49 83 369
50 9 758
51 40 722
52 41 439
53 65 978
54 56 894
55 7 820
56 94 988
57 84 738
58 16 494
59 42 229
60 43 1302
