NOP: 45
NINT: 13
0 254 2
254 364 3
364 510 4
510 806 5
806 1152 6
1152 1328 7
1328 1366 8
1366 1713 7
1713 1755 6
1755 1999 5
1999 2185 4
2185 2235 3
2235 300000 2
1 89 90
2 51 51
3 15 66
4 92 92
5 14 94
6 97 111
7 2 132
8 68 151
9 67 167
10 75 83
11 58 252
12 80 98
13 97 234
14 95 166
15 36 223
16 51 425
17 86 306
18 12 338
19 52 342
20 27 348
21 21 503
22 61 372
23 87 299
24 82 118
25 12 422
26 94 424
27 57 674
28 32 598
29 68 671
30 60 339
31 85 294
32 86 766
33 97 883
34 45 92
35 84 499
36 24 291
37 45 185
38 64 540
39 91 281
40 24 978
41 45 1034
42 85 162
43 98 981
44 100 592
45 65 500
