NOP: 60
NINT: 19
0 46 1
46 173 2
173 180 3
180 421 4
421 590 5
590 747 6
747 950 7
950 953 8
953 960 9
960 1080 10
1080 1342 9
1342 1571 8
1571 1747 7
1747 2000 6
2000 2017 5
2017 2068 4
2068 2257 3
2257 2464 2
2464 300000 1
1 84 84
2 80 81
3 75 75
4 55 116
5 25 74
6 48 125
7 88 152
8 98 174
9 69 227
10 60 187
11 68 144
12 25 243
13 96 191
14 70 319
15 17 135
16 13 64
17 57 393
18 33 309
19 9 143
20 90 386
21 29 351
22 67 361
23 43 468
24 9 275
25 9 428
26 6 180
27 61 560
28 70 420
29 73 306
30 11 402
31 38 606
32 47 472
33 4 409
34 79 228
35 83 621
36 59 803
37 83 491
38 67 146
39 43 564
40 32 127
41 4 760
42 30 662
43 55 338
44 68 466
45 65 185
46 31 472
47 18 1084
48 17 208
49 28 185
50 54 798
51 75 948
52 91 393
53 14 983
54 74 174
55 71 197
56 86 1333
57 86 1135
58 62 1051
59 89 1301
60 38 38
