NOP: 60
NINT: 19
0 109 1
109 282 2
282 290 3
290 402 4
402 500 5
500 760 6
760 918 7
918 1123 8
1123 1377 9
1377 1531 10
1531 1819 9
1819 1938 8
1938 2175 7
2175 2431 6
2431 2656 5
2656 2746 4
2746 2930 3
2930 3212 2
3212 300000 1
1 2 2
2 41 41
3 19 19
4 79 79
5 12 47
6 95 95
7 36 37
8 18 28
9 98 98
10 23 78
11 38 53
12 27 181
13 32 182
14 55 95
15 54 62
16 91 199
17 68 337
18 42 247
19 47 59
20 56 286
21 30 438
22 1 93
23 38 215
24 47 147
25 17 222
26 91 237
27 65 536
28 10 379
29 73 247
30 74 337
31 87 278
32 55 257
33 92 299
34 87 282
35 32 129
36 73 414
37 33 799
38 21 587
39 22 312
40 9 48
41 28 781
42 39 448
43 73 410
44 5 818
45 88 737
46 9 375
47 31 581
48 87 1074
49 18 470
50 85 177
51 78 331
52 86 508
53 10 1198
54 33 1050
55 68 426
56 66 382
57 94 128
58 51 591
59 31 1152
60 85 507
