NOP: 45
NINT: 13
0 23 2
23 294 3
294 411 4
411 432 5
432 458 6
458 707 7
707 941 8
941 1034 7
1034 1292 6
1292 1556 5
1556 1648 4
1648 1775 3
1775 300000 2
1 76 77
2 2 30
3 82 83
4 95 95
5 64 125
6 100 134
7 60 196
8 12 199
9 85 174
10 42 212
11 63 137
12 97 302
13 27 286
14 64 228
15 31 167
16 95 176
17 50 339
18 11 333
19 38 478
20 1 456
21 54 408
22 81 298
23 49 532
24 28 454
25 58 296
26 87 680
27 61 100
28 100 690
29 30 400
30 9 723
31 29 30
32 29 748
33 71 355
34 3 308
35 40 324
36 91 101
37 18 106
38 5 225
39 82 677
40 47 818
41 16 864
42 99 1018
43 14 859
44 17 462
45 36 397
