NOP: 60
NINT: 18
0 132 1
132 278 2
278 571 3
571 883 4
883 1059 5
1059 1374 6
1374 1612 7
1612 1838 8
1838 1882 9
1882 1983 10
1983 2263 9
2263 2441 8
2441 2596 7
2596 2617 6
2617 2763 5
2763 2903 4
2903 2989 3
2989 300000 2
1 88 88
2 95 96
3 34 56
4 35 87
5 92 125
6 92 135
7 73 179
8 51 111
9 19 128
10 82 194
11 47 276
12 64 169
13 66 281
14 86 371
15 83 364
16 4 209
17 39 447
18 85 158
19 7 507
20 24 40
21 91 357
22 66 261
23 6 341
24 54 180
25 76 686
26 94 192
27 98 200
28 6 793
29 45 680
30 53 487
31 79 770
32 3 418
33 61 802
34 81 556
35 22 302
36 15 701
37 56 821
38 58 467
39 81 972
40 14 883
41 81 273
42 58 537
43 99 205
44 93 369
45 10 826
46 69 349
47 67 241
48 47 996
49 6 1093
50 25 189
51 51 545
52 58 647
53 47 186
54 13 954
55 16 1064
56 58 541
57 98 990
58 35 879
59 37 569
60 22 847
