NOP: 45
NINT: 14
0 72 1
72 149 2
149 456 3
456 638 4
638 825 5
825 1082 6
1082 1251 7
1251 1504 8
1504 1568 7
1568 1760 6
1760 1963 5
1963 2174 4
2174 2263 3
2263 300000 2
1 58 58
2 90 91
3 37 37
4 37 65
5 67 73
6 61 108
7 41 102
8 26 55
9 24 150
10 86 144
11 71 212
12 76 256
13 28 102
14 47 144
15 18 117
16 27 64
17 1 9
18 76 231
19 99 300
20 64 419
21 37 48
22 65 392
23 98 480
24 53 134
25 71 614
26 86 242
27 26 366
28 15 560
29 23 305
30 25 259
31 36 560
32 87 416
33 77 402
34 89 600
35 78 144
36 35 74
37 68 827
38 66 334
39 97 722
40 94 387
41 77 1066
42 8 34
43 27 674
44 63 369
45 100 928
