NOP: 45
NINT: 14
0 46 1
46 97 2
97 301 3
301 535 4
535 786 5
786 917 6
917 1036 7
1036 1177 8
1177 1251 7
1251 1497 6
1497 1738 5
1738 1787 4
1787 2039 3
2039 300000 2
1 27 27
2 96 97
3 21 21
4 5 12
5 91 91
6 46 85
7 23 77
8 79 96
9 22 96
10 6 121
11 19 34
12 47 138
13 43 44
14 85 233
15 2 293
16 60 266
17 28 43
18 29 190
19 72 288
20 76 277
21 29 231
22 20 46
23 15 196
24 70 288
25 38 48
26 38 174
27 73 475
28 63 521
29 2 524
30 99 174
31 26 433
32 58 631
33 41 554
34 21 314
35 39 391
36 72 636
37 41 396
38 65 514
39 25 442
40 47 659
41 34 335
42 87 758
43 42 845
44 12 809
45 96 379
