NOP: 45
NINT: 15
0 43 1
43 276 2
276 463 3
463 647 4
647 917 5
917 978 6
978 1260 7
1260 1404 8
1404 1488 7
1488 1552 6
1552 1752 5
1752 1849 4
1849 1896 3
1896 1919 2
1919 300000 1
1 82 82
2 35 36
3 90 91
4 29 94
5 5 75
6 63 98
7 67 131
8 99 106
9 82 183
10 16 184
11 30 60
12 93 185
13 70 99
14 75 215
15 9 186
16 71 402
17 74 296
18 1 55
19 18 470
20 10 426
21 80 307
22 93 127
23 88 209
24 40 347
25 61 202
26 30 263
27 1 48
28 33 567
29 88 547
30 23 322
31 27 561
32 86 757
33 94 541
34 25 583
35 68 243
36 46 801
37 39 472
38 73 571
39 26 780
40 61 695
41 4 854
42 79 527
43 27 631
44 69 135
45 52 281
