NOP: 45
NINT: 13
0 72 2
72 171 3
171 402 4
402 551 5
551 620 6
620 822 7
822 850 8
850 886 7
886 929 6
929 1220 5
1220 1321 4
1321 1470 3
1470 300000 2
1 99 99
2 59 60
3 18 57
4 21 58
5 87 91
6 83 128
7 68 149
8 80 162
9 55 105
10 59 247
11 71 170
12 6 145
13 40 106
14 42 208
15 74 133
16 80 423
17 75 334
18 79 251
19 42 402
20 69 186
21 86 195
22 27 554
23 50 357
24 58 283
25 23 144
26 7 469
27 61 504
28 14 139
29 45 654
30 3 65
31 13 541
32 48 782
33 35 549
34 20 377
35 60 836
36 94 711
37 93 144
38 40 199
39 69 194
40 49 694
41 76 1034
42 12 269
43 52 829
44 37 535
45 54 425
