NOP: 45
NINT: 14
0 156 2
156 207 3
207 268 4
268 404 5
404 594 6
594 669 7
669 866 8
866 1076 7
1076 1152 6
1152 1310 5
1310 1475 4
1475 1517 3
1517 1665 2
1665 300000 1
1 2 2
2 38 39
3 43 44
4 13 13
5 30 30
6 78 78
7 18 56
8 82 108
9 13 138
10 20 125
11 74 107
12 63 110
13 98 187
14 49 164
15 6 24
16 60 138
17 2 312
18 20 314
19 12 215
20 76 254
21 10 380
22 48 260
23 4 22
24 33 94
25 66 444
26 6 372
27 52 330
28 7 83
29 2 339
30 33 445
31 33 451
32 15 91
33 82 434
34 60 549
35 40 70
36 62 220
37 5 464
38 15 374
39 98 190
40 22 151
41 71 172
42 91 548
43 48 457
44 66 677
45 78 554
