NOP: 60
NINT: 18
0 59 2
59 158 3
158 423 4
423 619 5
619 753 6
753 772 7
772 1113 8
1113 1352 9
1352 1674 10
1674 1897 9
1897 2017 8
2017 2105 7
2105 2375 6
2375 2452 5
2452 2553 4
2553 2593 3
2593 2837 2
2837 300000 1
1 79 80
2 61 62
3 78 78
4 67 87
5 59 108
6 95 116
7 36 161
8 14 162
9 11 48
10 31 186
11 62 231
12 86 94
13 64 171
14 56 72
15 42 60
16 21 298
17 5 159
18 96 289
19 34 162
20 65 191
21 1 149
22 39 278
23 28 329
24 7 55
25 16 108
26 56 289
27 62 566
28 99 413
29 99 289
30 87 435
31 80 210
32 13 231
33 66 523
34 88 116
35 48 592
36 22 648
37 57 257
38 97 753
39 57 196
40 35 676
41 91 539
42 16 77
43 80 1050
44 88 892
45 88 1168
46 5 1073
47 32 525
48 14 584
49 94 864
50 64 887
51 98 307
52 86 722
53 78 140
54 32 1132
55 96 1116
56 74 189
57 82 1224
58 99 1586
59 25 585
60 93 1061
