NOP: 60
NINT: 18
0 153 2
153 416 3
416 508 4
508 745 5
745 1024 6
1024 1280 7
1280 1460 8
1460 1547 9
1547 1552 10
1552 1592 9
1592 1623 8
1623 1885 7
1885 1988 6
1988 2131 5
2131 2327 4
2327 2449 3
2449 2597 2
2597 300000 1
1 91 92
2 98 99
3 13 19
4 1 84
5 23 24
6 27 50
7 94 95
8 14 146
9 93 168
10 52 172
11 41 209
12 1 154
13 21 142
14 29 106
15 38 231
16 71 291
17 15 349
18 57 350
19 11 360
20 57 390
21 63 192
22 6 349
23 71 106
24 97 288
25 81 361
26 54 555
27 62 79
28 90 233
29 21 658
30 31 418
31 97 336
32 51 745
33 32 168
34 57 429
35 7 774
36 99 409
37 99 605
38 11 433
39 94 171
40 43 745
41 83 842
42 38 404
43 44 420
44 18 141
45 89 948
46 66 732
47 43 466
48 19 851
49 47 464
50 78 553
51 14 299
52 10 672
53 76 244
54 57 1069
55 22 485
56 51 198
57 8 765
58 56 1240
59 80 100
60 55 1332
