NOP: 60
NINT: 18
0 7 2
7 264 3
264 397 4
397 624 5
624 703 6
703 916 7
916 967 8
967 1173 9
1173 1445 10
1445 1545 9
1545 1787 8
1787 1902 7
1902 1998 6
1998 2266 5
2266 2366 4
2366 2621 3
2621 2761 2
2761 300000 1
1 27 28
2 63 63
3 81 82
4 77 79
5 44 79
6 13 31
7 6 99
8 34 102
9 37 122
10 45 140
11 7 40
12 31 35
13 97 228
14 25 111
15 12 158
16 68 204
17 99 200
18 30 137
19 37 289
20 87 252
21 20 206
22 47 373
23 67 352
24 20 418
25 64 77
26 86 444
27 30 369
28 15 450
29 53 366
30 85 141
31 100 517
32 69 479
33 34 457
34 87 650
35 76 253
36 11 659
37 23 395
38 86 323
39 73 138
40 1 273
41 32 848
42 76 689
43 69 248
44 4 977
45 31 677
46 10 471
47 10 1045
48 36 916
49 33 507
50 53 294
51 96 707
52 56 810
53 64 1150
54 9 891
55 5 877
56 79 586
57 20 31
58 87 202
59 47 200
60 11 380
