NOP: 60
NINT: 18
0 116 1
116 297 2
297 379 3
379 460 4
460 512 5
512 823 6
823 971 7
971 1116 8
1116 1401 9
1401 1476 10
1476 1677 9
1677 1969 8
1969 2137 7
2137 2203 6
2203 2261 5
2261 2322 4
2322 2452 3
2452 300000 2
1 97 97
2 63 63
3 75 75
4 6 41
5 44 84
6 88 113
7 38 61
8 21 47
9 39 195
10 68 174
11 84 151
12 44 239
13 43 90
14 78 240
15 2 250
16 50 309
17 23 129
18 13 321
19 84 184
20 32 314
21 70 383
22 86 130
23 93 407
24 24 539
25 12 562
26 32 195
27 38 638
28 16 364
29 42 168
30 32 59
31 89 480
32 40 201
33 74 703
34 44 46
35 27 372
36 73 491
37 37 781
38 97 539
39 96 508
40 77 669
41 17 703
42 17 396
43 85 747
44 95 244
45 26 191
46 39 46
47 99 568
48 83 415
49 63 1137
50 72 1048
51 11 133
52 92 1317
53 3 1246
54 78 1135
55 37 1403
56 70 766
57 14 277
58 74 1080
59 53 274
60 86 250
