NOP: 60
NINT: 19
0 62 1
62 110 2
110 322 3
322 407 4
407 561 5
561 630 6
630 909 7
909 919 8
919 1057 9
1057 1300 10
1300 1354 9
1354 1476 8
1476 1622 7
1622 1780 6
1780 2000 5
2000 2110 4
2110 2286 3
2286 2341 2
2341 300000 1
1 32 32
2 29 30
3 32 33
4 23 27
5 23 33
6 69 69
7 47 80
8 83 92
9 2 43
10 5 55
11 18 54
12 76 149
13 47 80
14 46 113
15 15 226
16 69 76
17 36 231
18 35 277
19 76 212
20 21 323
21 3 230
22 65 303
23 32 73
24 41 314
25 100 178
26 28 380
27 68 401
28 26 229
29 86 558
30 95 607
31 96 386
32 93 519
33 50 130
34 62 574
35 3 472
36 62 164
37 67 635
38 15 98
39 80 610
40 58 899
41 44 431
42 36 378
43 1 108
44 22 790
45 72 401
46 78 834
47 94 826
48 45 100
49 26 539
50 47 332
51 23 1124
52 20 134
53 30 654
54 62 1010
55 70 748
56 65 403
57 57 260
58 37 588
59 1 471
60 76 547
