NOP: 45
NINT: 13
0 226 2
226 304 3
304 556 4
556 818 5
818 1085 6
1085 1110 7
1110 1291 8
1291 1448 7
1448 1616 6
1616 1865 5
1865 1871 4
1871 1873 3
1873 300000 2
1 23 24
2 28 28
3 76 76
4 97 98
5 83 105
6 51 141
7 93 101
8 11 13
9 71 196
10 25 100
11 7 168
12 63 143
13 58 267
14 11 225
15 24 97
16 40 188
17 67 109
18 44 351
19 54 231
20 93 433
21 86 316
22 22 339
23 79 541
24 45 383
25 11 571
26 26 485
27 37 106
28 46 437
29 79 180
30 32 576
31 16 671
32 35 123
33 100 710
34 36 411
35 17 283
36 82 646
37 49 134
38 91 558
39 52 556
40 3 461
41 64 589
42 38 317
43 60 340
44 43 76
45 94 1044
