NOP: 45
NINT: 14
0 160 2
160 376 3
376 379 4
379 533 5
533 566 6
566 591 7
591 791 8
791 852 7
852 864 6
864 1069 5
1069 1247 4
1247 1478 3
1478 1749 2
1749 300000 1
1 49 50
2 97 97
3 33 70
4 16 59
5 4 66
6 86 96
7 1 50
8 66 87
9 13 91
10 79 95
11 57 216
12 5 73
13 46 98
14 9 229
15 91 171
16 55 216
17 9 214
18 71 135
19 62 273
20 78 371
21 78 393
22 92 425
23 34 234
24 26 418
25 3 64
26 81 571
27 53 459
28 90 416
29 67 273
30 48 677
31 44 269
32 70 262
33 67 596
34 6 87
35 99 737
36 14 438
37 20 534
38 70 807
39 85 543
40 33 509
41 62 819
42 84 681
43 23 454
44 97 706
45 58 586
