NOP: 60
NINT: 19
0 33 1
33 60 2
60 157 3
157 217 4
217 270 5
270 313 6
313 335 7
335 450 8
450 531 9
531 634 10
634 652 9
652 901 8
901 1139 7
1139 1183 6
1183 1404 5
1404 1552 4
1552 1614 3
1614 1871 2
1871 300000 1
1 13 14
2 84 84
3 17 35
4 97 98
5 44 60
6 7 10
7 39 81
8 30 128
9 12 26
10 39 151
11 36 111
12 23 87
13 98 127
14 9 167
15 64 234
16 19 226
17 65 76
18 25 264
19 18 323
20 4 232
21 94 340
22 43 323
23 7 273
24 68 279
25 23 398
26 28 242
27 92 126
28 85 539
29 2 253
30 16 515
31 49 481
32 8 18
33 68 459
34 69 174
35 10 370
36 2 112
37 48 641
38 78 322
39 81 659
40 13 381
41 7 794
42 51 518
43 9 565
44 89 424
45 31 731
46 23 132
47 40 567
48 14 870
49 63 510
50 89 819
51 74 494
52 98 877
53 30 883
54 57 430
55 65 409
56 70 1133
57 82 1044
58 9 130
59 87 185
60 62 100
