NOP: 60
NINT: 19
0 26 1
26 238 2
238 463 3
463 547 4
547 769 5
769 893 6
893 996 7
996 1089 8
1089 1266 9
1266 1288 10
1288 1391 9
1391 1576 8
1576 1695 7
1695 1984 6
1984 2067 5
2067 2246 4
2246 2302 3
2302 2461 2
2461 300000 1
1 52 52
2 29 30
3 9 19
4 88 89
5 27 57
6 11 94
7 31 64
8 64 103
9 50 124
10 90 109
11 31 184
12 96 233
13 58 67
14 34 300
15 94 275
16 87 244
17 54 254
18 29 398
19 57 363
20 22 331
21 55 456
22 33 450
23 88 365
24 57 192
25 13 554
26 18 550
27 22 472
28 82 597
29 18 612
30 48 168
31 24 438
32 68 418
33 94 728
34 69 680
35 8 330
36 56 256
37 23 797
38 53 663
39 85 560
40 22 562
41 85 962
42 23 560
43 7 875
44 73 886
45 21 1056
46 25 204
47 83 833
48 52 574
49 93 435
50 71 710
51 43 766
52 62 1025
53 23 788
54 31 1117
55 8 138
56 98 742
57 85 1006
58 80 367
59 32 294
60 37 171
