NOP: 45
NINT: 13
0 199 2
199 261 3
261 500 4
500 537 5
537 572 6
572 707 7
707 835 8
835 1075 7
1075 1228 6
1228 1251 5
1251 1254 4
1254 1440 3
1440 300000 2
1 7 8
2 10 10
3 97 97
4 31 44
5 4 50
6 11 57
7 86 87
8 4 67
9 25 68
10 62 66
11 71 164
12 9 139
13 32 181
14 27 105
15 72 161
16 69 187
17 23 270
18 45 270
19 98 294
20 50 214
21 58 67
22 39 64
23 24 210
24 79 392
25 81 200
26 40 460
27 87 511
28 87 278
29 76 442
30 3 69
31 51 567
32 71 365
33 98 504
34 11 162
35 3 811
36 73 610
37 48 807
38 11 202
39 95 214
40 61 889
41 43 239
42 36 512
43 28 241
44 37 286
45 97 1000
