NOP: 45
NINT: 13
0 175 2
175 370 3
370 567 4
567 621 5
621 732 6
732 791 7
791 825 8
825 869 7
869 1060 6
1060 1306 5
1306 1313 4
1313 1548 3
1548 300000 2
1 8 8
2 75 76
3 19 35
4 96 97
5 45 93
6 77 106
7 22 95
8 52 113
9 78 151
10 54 124
11 51 68
12 53 148
13 86 207
14 91 176
15 88 140
16 61 230
17 14 337
18 99 268
19 26 37
20 12 353
21 96 441
22 65 312
23 27 499
24 55 141
25 60 391
26 45 537
27 94 288
28 65 754
29 40 173
30 22 482
31 11 212
32 86 705
33 94 343
34 59 747
35 55 511
36 27 935
37 24 850
38 50 81
39 53 68
40 99 706
41 44 966
42 12 1103
43 38 420
44 45 1079
45 58 386
