NOP: 45
NINT: 13
0 65 2
65 187 3
187 351 4
351 582 5
582 812 6
812 1077 7
1077 1193 8
1193 1362 7
1362 1621 6
1621 1786 5
1786 1860 4
1860 1977 3
1977 300000 2
1 76 77
2 15 30
3 53 54
4 11 60
5 61 73
6 85 88
7 72 100
8 17 175
9 83 101
10 41 79
11 71 164
12 2 22
13 72 93
14 88 292
15 24 270
16 18 285
17 10 272
18 74 241
19 13 432
20 54 153
21 9 338
22 22 314
23 48 99
24 19 406
25 68 390
26 50 454
27 39 448
28 100 185
29 22 405
30 37 479
31 12 469
32 82 118
33 94 314
34 89 667
35 72 157
36 50 570
37 49 571
38 28 338
39 50 273
40 14 232
41 71 905
42 75 620
43 88 765
44 2 368
45 8 136
