NOP: 60
NINT: 18
0 161 2
161 282 3
282 307 4
307 321 5
321 362 6
362 374 7
374 560 8
560 798 9
798 947 10
947 1174 9
1174 1197 8
1197 1368 7
1368 1511 6
1511 1513 5
1513 1691 4
1691 1802 3
1802 2032 2
2032 300000 1
1 37 37
2 34 34
3 72 72
4 6 46
5 38 47
6 11 52
7 42 44
8 35 67
9 37 99
10 77 151
11 25 47
12 96 169
13 72 105
14 52 186
15 27 251
16 94 293
17 83 209
18 29 93
19 30 309
20 19 372
21 14 227
22 39 86
23 96 334
24 47 180
25 19 427
26 82 413
27 48 273
28 11 622
29 96 116
30 78 235
31 35 54
32 40 451
33 31 308
34 4 258
35 53 427
36 84 112
37 90 513
38 54 525
39 37 711
40 48 629
41 87 359
42 53 553
43 47 250
44 62 574
45 7 507
46 14 691
47 1 648
48 60 918
49 77 514
50 73 942
51 86 834
52 37 858
53 67 630
54 9 783
55 84 167
56 17 778
57 78 134
58 48 675
59 27 1259
60 15 678
