NOP: 60
NINT: 17
0 207 2
207 513 3
513 575 4
575 650 5
650 770 6
770 843 7
843 909 8
909 939 9
939 1131 10
1131 1300 9
1300 1341 8
1341 1605 7
1605 1775 6
1775 1820 5
1820 2111 4
2111 2336 3
2336 300000 2
1 15 16
2 76 77
3 19 34
4 58 58
5 34 45
6 18 73
7 7 77
8 96 101
9 80 93
10 82 101
11 91 232
12 79 114
13 89 262
14 75 237
15 74 321
16 34 390
17 86 267
18 52 62
19 84 174
20 79 439
21 68 597
22 20 296
23 20 570
24 21 242
25 16 393
26 86 672
27 45 499
28 74 706
29 64 442
30 90 422
31 81 180
32 18 219
33 53 81
34 26 261
35 72 117
36 17 934
37 96 483
38 24 152
39 24 752
40 52 536
41 65 851
42 4 854
43 59 537
44 37 961
45 44 247
46 13 1081
47 58 526
48 23 911
49 5 836
50 73 777
51 37 515
52 96 266
53 40 1049
54 58 917
55 69 69
56 51 260
57 44 512
58 39 1319
59 36 822
60 57 1359
