NOP: 45
NINT: 14
0 260 2
260 462 3
462 640 4
640 906 5
906 951 6
951 1163 7
1163 1183 8
1183 1417 7
1417 1666 6
1666 1867 5
1867 2000 4
2000 2169 3
2169 2269 2
2269 300000 1
1 71 72
2 81 82
3 16 50
4 67 83
5 75 111
6 74 101
7 42 168
8 93 111
9 75 170
10 70 126
11 57 167
12 59 109
13 4 11
14 27 171
15 88 200
16 68 81
17 18 348
18 81 428
19 73 257
20 17 281
21 35 321
22 63 211
23 41 552
24 28 132
25 89 445
26 33 523
27 45 554
28 9 542
29 43 394
30 44 206
31 82 746
32 100 503
33 65 766
34 63 719
35 70 454
36 54 882
37 51 401
38 9 793
39 33 547
40 4 767
41 35 593
42 14 493
43 73 1081
44 72 512
45 71 434
