NOP: 45
NINT: 14
0 197 2
197 240 3
240 441 4
441 503 5
503 577 6
577 598 7
598 781 8
781 1025 7
1025 1201 6
1201 1470 5
1470 1534 4
1534 1630 3
1630 1715 2
1715 300000 1
1 75 76
2 46 46
3 29 35
4 31 44
5 55 60
6 50 62
7 83 114
8 4 56
9 41 157
10 10 185
11 79 132
12 41 63
13 90 237
14 98 148
15 9 331
16 3 369
17 17 233
18 11 11
19 39 104
20 86 179
21 54 258
22 32 398
23 64 90
24 92 126
25 71 223
26 62 402
27 78 266
28 84 128
29 88 631
30 72 698
31 52 509
32 33 169
33 34 635
34 71 592
35 67 781
36 50 735
37 85 617
38 39 731
39 81 173
40 31 557
41 36 491
42 23 824
43 35 211
44 39 1036
45 1 309
