NOP: 45
NINT: 13
0 190 2
190 323 3
323 414 4
414 453 5
453 657 6
657 710 7
710 866 8
866 932 7
932 962 6
962 1136 5
1136 1333 4
1333 1552 3
1552 300000 2
1 19 19
2 85 85
3 3 38
4 99 99
5 18 86
6 59 92
7 6 67
8 14 91
9 5 125
10 54 67
11 19 72
12 93 101
13 86 139
14 42 116
15 72 177
16 15 176
17 98 261
18 15 362
19 4 375
20 6 127
21 24 25
22 22 135
23 13 427
24 85 349
25 95 171
26 40 315
27 23 494
28 70 74
29 9 315
30 29 462
31 48 440
32 44 102
33 15 55
34 39 162
35 32 427
36 73 548
37 13 445
38 22 68
39 87 574
40 27 337
41 62 330
42 20 744
43 12 683
44 6 294
45 34 635
