NOP: 60
NINT: 18
0 130 1
130 177 2
177 474 3
474 508 4
508 589 5
589 644 6
644 685 7
685 864 8
864 1111 9
1111 1299 10
1299 1478 9
1478 1761 8
1761 2065 7
2065 2078 6
2078 2176 5
2176 2347 4
2347 2595 3
2595 300000 2
1 98 99
2 97 98
3 52 53
4 7 30
5 4 22
6 79 107
7 44 53
8 11 140
9 98 153
10 48 140
11 80 81
12 74 205
13 30 156
14 75 341
15 10 102
16 27 373
17 54 360
18 91 201
19 35 79
20 47 334
21 68 84
22 66 76
23 94 386
24 69 138
25 81 184
26 24 107
27 58 121
28 78 336
29 28 328
30 16 722
31 71 106
32 58 641
33 31 796
34 72 361
35 64 779
36 98 307
37 49 170
38 94 559
39 88 483
40 44 468
41 36 893
42 52 708
43 27 997
44 21 341
45 39 173
46 34 831
47 33 705
48 14 58
49 67 708
50 17 791
51 70 331
52 91 941
53 26 679
54 93 908
55 5 718
56 95 1156
57 92 290
58 15 80
59 34 616
60 9 763
