NOP: 60
NINT: 19
0 53 1
53 207 2
207 306 3
306 453 4
453 702 5
702 841 6
841 1121 7
1121 1245 8
1245 1346 9
1346 1451 10
1451 1563 9
1563 1668 8
1668 1912 7
1912 2179 6
2179 2258 5
2258 2439 4
2439 2517 3
2517 2621 2
2621 300000 1
1 41 41
2 48 48
3 36 43
4 51 59
5 23 81
6 94 94
7 49 89
8 10 88
9 32 125
10 13 121
11 4 46
12 48 75
13 94 211
14 35 266
15 3 84
16 68 73
17 2 230
18 60 112
19 80 100
20 47 154
21 23 151
22 2 230
23 12 125
24 89 346
25 100 395
26 44 294
27 29 60
28 31 277
29 78 243
30 99 132
31 95 371
32 50 108
33 47 655
34 84 573
35 65 407
36 45 83
37 38 208
38 38 74
39 21 625
40 77 679
41 53 576
42 80 226
43 20 258
44 30 211
45 11 436
46 92 478
47 30 748
48 30 222
49 8 20
50 76 861
51 98 1084
52 52 114
53 53 808
54 18 779
55 74 415
56 8 500
57 3 1301
58 39 615
59 98 1309
60 100 696
