NOP: 45
NINT: 15
0 99 1
99 278 2
278 370 3
370 471 4
471 503 5
503 783 6
783 923 7
923 1126 8
1126 1409 7
1409 1591 6
1591 1831 5
1831 1972 4
1972 2008 3
2008 2044 2
2044 300000 1
1 48 49
2 87 87
3 87 87
4 80 83
5 100 117
6 3 19
7 14 57
8 75 116
9 81 146
10 30 242
11 79 89
12 45 98
13 29 129
14 90 218
15 56 182
16 72 422
17 11 115
18 58 389
19 38 199
20 24 438
21 22 222
22 40 543
23 75 520
24 96 168
25 49 548
26 100 624
27 29 479
28 30 650
29 41 60
30 15 778
31 48 448
32 34 70
33 9 12
34 66 266
35 80 787
36 14 775
37 50 289
38 46 794
39 43 72
40 28 426
41 69 906
42 7 422
43 67 88
44 55 96
45 63 1107
