NOP: 60
NINT: 19
0 219 1
219 466 2
466 563 3
563 595 4
595 700 5
700 838 6
838 883 7
883 1144 8
1144 1197 9
1197 1388 10
1388 1627 9
1627 1899 8
1899 2022 7
2022 2270 6
2270 2292 5
2292 2357 4
2357 2395 3
2395 2422 2
2422 300000 1
1 20 21
2 76 76
3 19 27
4 17 27
5 60 63
6 43 62
7 67 113
8 6 129
9 85 141
10 15 100
11 86 165
12 100 115
13 66 114
14 9 54
15 63 161
16 29 123
17 52 190
18 34 158
19 32 347
20 76 165
21 54 229
22 28 483
23 81 139
24 80 301
25 17 199
26 9 342
27 36 425
28 26 316
29 54 158
30 55 513
31 51 342
32 43 95
33 74 145
34 3 65
35 73 445
36 47 623
37 39 276
38 34 288
39 62 665
40 79 437
41 4 919
42 34 113
43 11 636
44 69 719
45 9 191
46 30 990
47 78 172
48 63 1027
49 23 454
50 99 421
51 15 46
52 37 89
53 11 658
54 28 704
55 36 998
56 78 960
57 70 190
58 94 331
59 1 847
60 69 363
