NOP: 45
NINT: 14
0 248 1
248 498 2
498 689 3
689 732 4
732 773 5
773 1048 6
1048 1246 7
1246 1365 8
1365 1420 7
1420 1620 6
1620 1882 5
1882 2143 4
2143 2446 3
2446 300000 2
1 100 100
2 66 67
3 32 81
4 43 43
5 82 115
6 26 55
7 20 21
8 63 158
9 52 109
10 81 187
11 77 125
12 57 137
13 83 184
14 24 273
15 7 260
16 56 322
17 7 370
18 67 360
19 2 338
20 94 192
21 38 241
22 50 510
23 98 409
24 30 470
25 30 590
26 85 579
27 74 79
28 90 704
29 76 516
30 70 410
31 51 535
32 22 773
33 8 514
34 40 214
35 89 622
36 68 510
37 70 621
38 45 213
39 92 204
40 6 960
41 47 441
42 47 696
43 81 807
44 88 479
45 65 176
