NOP: 45
NINT: 14
0 24 1
24 81 2
81 91 3
91 309 4
309 455 5
455 596 6
596 822 7
822 937 8
937 1010 7
1010 1269 6
1269 1302 5
1302 1390 4
1390 1634 3
1634 300000 2
1 7 8
2 88 89
3 74 74
4 55 77
5 80 86
6 32 36
7 73 161
8 29 43
9 26 99
10 82 175
11 80 140
12 68 116
13 6 94
14 21 223
15 54 241
16 20 95
17 28 335
18 17 265
19 96 252
20 47 81
21 10 377
22 84 206
23 31 401
24 15 252
25 73 327
26 67 155
27 25 217
28 99 610
29 20 304
30 71 116
31 88 494
32 75 258
33 21 311
34 65 546
35 72 821
36 56 560
37 17 488
38 95 287
39 13 591
40 57 90
41 75 140
42 70 860
43 41 200
44 46 535
45 74 378
