NOP: 45
NINT: 13
0 217 2
217 337 3
337 365 4
365 645 5
645 838 6
838 908 7
908 1142 8
1142 1154 7
1154 1246 6
1246 1290 5
1290 1455 4
1455 1702 3
1702 300000 2
1 53 53
2 77 78
3 98 99
4 76 80
5 100 131
6 83 179
7 92 201
8 60 139
9 24 282
10 77 300
11 50 178
12 63 105
13 59 204
14 85 347
15 52 139
16 54 328
17 32 151
18 77 340
19 90 244
20 1 41
21 7 202
22 14 196
23 12 342
24 60 556
25 36 622
26 19 333
27 44 128
28 7 602
29 10 688
30 94 596
31 81 231
32 85 198
33 14 814
34 41 585
35 24 711
36 71 366
37 27 771
38 83 154
39 63 553
40 32 414
41 75 1033
42 32 532
43 85 346
44 87 963
45 72 310
