NOP: 60
NINT: 19
0 260 1
260 445 2
445 481 3
481 628 4
628 839 5
839 923 6
923 1040 7
1040 1138 8
1138 1211 9
1211 1278 10
1278 1491 9
1491 1708 8
1708 1856 7
1856 1971 6
1971 2189 5
2189 2444 4
2444 2489 3
2489 2678 2
2678 300000 1
1 87 88
2 60 60
3 97 97
4 34 44
5 11 108
6 84 137
7 75 153
8 22 138
9 13 34
10 14 224
11 42 58
12 33 173
13 45 239
14 98 98
15 69 109
16 29 181
17 88 325
18 89 90
19 19 103
20 4 213
21 6 28
22 52 176
23 19 489
24 13 58
25 76 495
26 34 578
27 99 417
28 85 546
29 42 391
30 39 460
31 44 366
32 16 454
33 20 154
34 99 560
35 4 188
36 33 212
37 44 656
38 38 77
39 8 506
40 63 148
41 84 118
42 56 686
43 59 326
44 51 544
45 84 859
46 52 771
47 60 702
48 49 244
49 50 1082
50 16 482
51 9 1045
52 32 48
53 66 161
54 61 1145
55 18 978
56 22 1185
57 8 225
58 23 1272
59 67 934
60 1 390
