NOP: 45
NINT: 15
0 279 1
279 452 2
452 664 3
664 869 4
869 1005 5
1005 1064 6
1064 1181 7
1181 1424 8
1424 1451 7
1451 1570 6
1570 1598 5
1598 1815 4
1815 2125 3
2125 2326 2
2326 300000 1
1 51 51
2 59 59
3 60 61
4 49 49
5 75 78
6 53 72
7 42 124
8 90 178
9 94 204
10 38 266
11 7 103
12 68 76
13 100 290
14 34 338
15 26 70
16 59 162
17 5 258
18 35 298
19 67 138
20 10 330
21 90 349
22 72 181
23 97 411
24 97 543
25 6 395
26 51 447
27 13 159
28 35 553
29 17 72
30 14 313
31 54 163
32 56 408
33 91 523
34 82 790
35 84 373
36 93 893
37 15 604
38 75 358
39 79 953
40 82 585
41 45 658
42 42 44
43 72 198
44 90 1117
45 58 471
