NOP: 60
NINT: 17
0 116 2
116 296 3
296 307 4
307 320 5
320 353 6
353 386 7
386 589 8
589 807 9
807 983 10
983 1186 9
1186 1410 8
1410 1477 7
1477 1531 6
1531 1674 5
1674 1928 4
1928 2042 3
2042 300000 2
1 64 65
2 86 86
3 19 45
4 33 69
5 65 80
6 8 79
7 12 115
8 84 110
9 21 108
10 47 187
11 96 148
12 43 162
13 52 87
14 42 108
15 24 199
16 5 38
17 41 104
18 30 284
19 39 117
20 97 112
21 81 329
22 83 359
23 21 261
24 31 231
25 29 397
26 88 437
27 39 588
28 18 583
29 39 184
30 89 647
31 13 288
32 50 646
33 56 471
34 100 723
35 47 530
36 29 33
37 70 343
38 66 363
39 84 108
40 86 108
41 53 288
42 64 963
43 55 567
44 75 1013
45 3 832
46 72 868
47 96 619
48 29 727
49 75 847
50 38 206
51 41 235
52 32 557
53 49 320
54 22 31
55 2 9
56 11 1164
57 7 368
58 11 1152
59 11 948
60 8 1307
