NOP: 45
NINT: 14
0 142 1
142 353 2
353 497 3
497 604 4
604 749 5
749 786 6
786 987 7
987 1005 8
1005 1152 7
1152 1289 6
1289 1496 5
1496 1572 4
1572 1773 3
1773 300000 2
1 28 28
2 64 65
3 23 39
4 49 54
5 10 29
6 30 71
7 12 68
8 88 104
9 61 76
10 86 87
11 66 207
12 1 22
13 59 155
14 70 123
15 35 86
16 16 129
17 46 170
18 4 162
19 56 75
20 95 246
21 87 245
22 74 315
23 69 501
24 60 452
25 14 306
26 83 198
27 3 493
28 100 238
29 99 160
30 51 703
31 100 463
32 11 289
33 56 566
34 97 523
35 55 353
36 15 371
37 1 935
38 65 934
39 22 756
40 85 256
41 83 780
42 26 975
43 8 290
44 60 926
45 51 881
