NOP: 45
NINT: 13
0 63 2
63 293 3
293 301 4
301 355 5
355 615 6
615 768 7
768 1006 8
1006 1234 7
1234 1384 6
1384 1406 5
1406 1688 4
1688 1834 3
1834 300000 2
1 17 17
2 26 27
3 84 84
4 25 30
5 49 58
6 96 98
7 75 76
8 75 88
9 39 155
10 98 109
11 94 118
12 58 179
13 18 63
14 26 28
15 36 200
16 49 405
17 73 363
18 21 372
19 99 204
20 7 474
21 65 461
22 39 145
23 11 294
24 57 430
25 9 163
26 75 340
27 77 231
28 60 459
29 35 72
30 65 339
31 81 531
32 92 196
33 51 487
34 78 888
35 13 327
36 19 763
37 59 207
38 23 306
39 90 376
40 24 937
41 2 888
42 95 314
43 81 983
44 43 1014
45 7 14
