NOP: 60
NINT: 18
0 284 1
284 401 2
401 562 3
562 768 4
768 909 5
909 934 6
934 967 7
967 1249 8
1249 1279 9
1279 1431 10
1431 1682 9
1682 1801 8
1801 1829 7
1829 2093 6
2093 2139 5
2139 2362 4
2362 2519 3
2519 300000 2
1 7 7
2 40 40
3 92 93
4 57 66
5 20 39
6 69 73
7 57 67
8 99 101
9 48 219
10 96 96
11 64 275
12 73 94
13 1 358
14 76 211
15 26 253
16 29 124
17 81 134
18 23 167
19 74 109
20 95 106
21 27 68
22 47 346
23 46 473
24 23 167
25 66 121
26 99 156
27 19 36
28 26 126
29 39 620
30 82 486
31 24 37
32 4 711
33 6 500
34 46 385
35 32 125
36 76 706
37 51 300
38 26 536
39 96 509
40 97 315
41 95 204
42 93 630
43 39 406
44 55 875
45 69 96
46 19 1057
47 42 67
48 8 526
49 45 570
50 15 625
51 59 528
52 18 510
53 19 185
54 45 1205
55 19 147
56 45 337
57 5 796
58 80 1285
59 52 744
60 12 755
