NOP: 45
NINT: 14
0 131 2
131 297 3
297 459 4
459 545 5
545 755 6
755 829 7
829 948 8
948 1117 7
1117 1212 6
1212 1325 5
1325 1541 4
1541 1801 3
1801 1825 2
1825 300000 1
1 48 49
2 6 13
3 28 28
4 24 24
5 35 50
6 71 72
7 94 96
8 11 87
9 30 38
10 87 156
11 80 139
12 42 118
13 54 268
14 72 281
15 62 135
16 80 246
17 12 116
18 41 254
19 82 431
20 93 117
21 74 74
22 38 362
23 51 401
24 83 536
25 22 617
26 55 60
27 19 190
28 60 303
29 45 354
30 14 25
31 91 733
32 10 471
33 14 780
34 4 94
35 57 209
36 55 463
37 53 189
38 53 130
39 47 461
40 70 254
41 17 68
42 12 537
43 11 178
44 42 262
45 40 320
