NOP: 45
NINT: 13
0 260 2
260 317 3
317 535 4
535 654 5
654 808 6
808 879 7
879 905 8
905 967 7
967 1142 6
1142 1290 5
1290 1515 4
1515 1658 3
1658 300000 2
1 33 34
2 12 14
3 42 42
4 86 86
5 51 80
6 49 61
7 49 86
8 38 42
9 5 93
10 2 21
11 86 148
12 83 179
13 43 155
14 30 269
15 46 158
16 21 189
17 94 328
18 87 271
19 41 96
20 51 112
21 44 310
22 41 52
23 7 442
24 87 302
25 61 176
26 77 137
27 41 620
28 42 592
29 16 122
30 22 345
31 29 295
32 8 175
33 66 399
34 8 96
35 37 630
36 87 351
37 95 737
38 40 317
39 33 285
40 80 357
41 68 687
42 88 323
43 5 638
44 32 670
45 69 756
