NOP: 60
NINT: 18
0 16 1
16 238 2
238 475 3
475 518 4
518 636 5
636 907 6
907 1146 7
1146 1234 8
1234 1407 9
1407 1503 10
1503 1602 9
1602 1763 8
1763 1834 7
1834 2077 6
2077 2317 5
2317 2431 4
2431 2576 3
2576 300000 2
1 99 99
2 6 11
3 84 84
4 17 38
5 57 57
6 23 80
7 12 76
8 12 63
9 38 111
10 13 154
11 45 76
12 73 198
13 71 189
14 75 166
15 30 158
16 56 269
17 48 64
18 2 65
19 80 252
20 72 109
21 62 424
22 82 278
23 67 514
24 94 479
25 49 515
26 25 201
27 40 129
28 62 575
29 81 461
30 76 301
31 84 661
32 52 202
33 61 94
34 72 663
35 69 323
36 94 517
37 66 865
38 27 418
39 3 549
40 86 691
41 96 392
42 16 879
43 10 150
44 63 689
45 24 338
46 96 353
47 16 560
48 87 262
49 34 789
50 16 99
51 29 48
52 73 125
53 58 1140
54 87 703
55 56 185
56 70 645
57 30 438
58 60 351
59 95 1135
60 69 902
