NOP: 60
NINT: 17
0 220 2
220 234 3
234 548 4
548 841 5
841 1056 6
1056 1305 7
1305 1578 8
1578 1599 9
1599 1840 10
1840 2083 9
2083 2125 8
2125 2270 7
2270 2511 6
2511 2739 5
2739 2857 4
2857 3025 3
3025 300000 2
1 81 81
2 64 65
3 45 48
4 69 76
5 25 35
6 55 85
7 41 102
8 16 148
9 97 165
10 10 77
11 56 218
12 29 273
13 5 268
14 40 274
15 15 108
16 95 298
17 66 110
18 1 51
19 97 401
20 99 298
21 49 69
22 80 483
23 80 340
24 6 189
25 88 458
26 20 412
27 43 141
28 39 234
29 79 219
30 88 554
31 2 418
32 47 82
33 99 735
34 26 141
35 23 716
36 22 731
37 97 548
38 43 140
39 73 212
40 55 103
41 1 769
42 30 105
43 78 842
44 62 1024
45 98 714
46 66 1138
47 69 535
48 95 203
49 10 389
50 69 1245
51 83 920
52 19 273
53 73 698
54 46 280
55 77 1329
56 85 599
57 85 802
58 55 550
59 38 441
60 85 1489
