NOP: 45
NINT: 13
0 7 2
7 149 3
149 291 4
291 330 5
330 472 6
472 657 7
657 793 8
793 1009 7
1009 1259 6
1259 1369 5
1369 1629 4
1629 1737 3
1737 300000 2
1 95 96
2 37 39
3 7 44
4 54 59
5 69 85
6 35 70
7 85 129
8 16 54
9 20 182
10 19 115
11 64 215
12 64 160
13 28 156
14 55 76
15 28 155
16 43 334
17 82 299
18 79 226
19 98 418
20 56 112
21 80 250
22 92 111
23 78 599
24 3 531
25 66 240
26 73 289
27 62 576
28 23 719
29 71 571
30 3 46
31 16 54
32 63 597
33 36 243
34 90 270
35 87 526
36 17 135
37 15 159
38 49 604
39 54 412
40 16 751
41 88 852
42 7 684
43 9 78
44 7 570
45 54 562
