NOP: 45
NINT: 14
0 15 2
15 115 3
115 216 4
216 243 5
243 412 6
412 664 7
664 912 8
912 1110 7
1110 1135 6
1135 1330 5
1330 1363 4
1363 1544 3
1544 1736 2
1736 300000 1
1 62 63
2 1 4
3 40 41
4 29 29
5 9 41
6 19 66
7 100 101
8 31 46
9 100 133
10 34 101
11 95 188
12 37 252
13 92 178
14 37 240
15 53 150
16 95 245
17 39 161
18 34 268
19 99 117
20 62 415
21 50 188
22 54 78
23 44 515
24 81 477
25 15 74
26 50 74
27 58 252
28 43 372
29 25 282
30 8 707
31 96 598
32 98 125
33 85 810
34 56 825
35 32 58
36 43 530
37 30 321
38 61 197
39 32 557
40 7 785
41 9 889
42 15 562
43 13 21
44 35 184
45 72 177
