NOP: 60
NINT: 18
0 214 2
214 222 3
222 295 4
295 405 5
405 502 6
502 586 7
586 642 8
642 741 9
741 764 10
764 782 9
782 984 8
984 1079 7
1079 1282 6
1282 1420 5
1420 1507 4
1507 1575 3
1575 1637 2
1637 300000 1
1 82 82
2 13 28
3 91 92
4 49 57
5 71 101
6 47 114
7 6 153
8 44 170
9 46 188
10 33 60
11 1 205
12 27 197
13 71 88
14 80 90
15 44 140
16 97 146
17 59 105
18 68 276
19 31 183
20 46 219
21 43 283
22 33 255
23 71 182
24 49 384
25 44 442
26 6 410
27 2 78
28 47 170
29 7 316
30 5 216
31 49 141
32 32 473
33 83 92
34 48 259
35 34 146
36 13 566
37 94 301
38 48 591
39 14 640
40 30 466
41 34 645
42 55 772
43 80 713
44 75 444
45 31 919
46 16 312
47 52 268
48 87 220
49 32 465
50 49 373
51 8 218
52 41 541
53 73 721
54 88 694
55 86 308
56 14 712
57 78 925
58 35 530
59 95 1059
60 47 1054
