NOP: 45
NINT: 14
0 51 2
51 286 3
286 322 4
322 334 5
334 584 6
584 642 7
642 676 8
676 772 7
772 911 6
911 1157 5
1157 1183 4
1183 1238 3
1238 1264 2
1264 300000 1
1 2 2
2 60 61
3 84 84
4 11 20
5 93 93
6 72 120
7 35 36
8 32 96
9 83 84
10 61 138
11 31 229
12 54 233
13 7 103
14 48 246
15 20 268
16 74 92
17 68 213
18 28 376
19 83 320
20 43 470
21 39 133
22 61 497
23 96 471
24 86 318
25 84 278
26 20 398
27 47 256
28 36 526
29 79 103
30 3 361
31 88 487
32 13 347
33 33 78
34 57 191
35 39 830
36 37 161
37 71 235
38 28 167
39 35 348
40 52 673
41 66 876
42 2 587
43 49 438
44 90 756
45 67 997
