NOP: 45
NINT: 14
0 32 1
32 270 2
270 458 3
458 578 4
578 832 5
832 887 6
887 950 7
950 1068 8
1068 1233 7
1233 1328 6
1328 1595 5
1595 1808 4
1808 1878 3
1878 300000 2
1 54 55
2 94 94
3 69 73
4 15 25
5 5 24
6 49 76
7 83 95
8 44 107
9 15 25
10 15 142
11 88 191
12 16 159
13 44 79
14 76 84
15 86 134
16 61 284
17 98 365
18 34 346
19 2 8
20 43 148
21 61 471
22 100 119
23 31 36
24 34 388
25 7 54
26 31 445
27 26 245
28 15 27
29 23 232
30 75 426
31 88 298
32 55 142
33 67 645
34 10 152
35 72 693
36 49 518
37 28 399
38 65 517
39 90 166
40 40 490
41 63 380
42 84 421
43 96 276
44 89 270
45 58 62
