NOP: 60
NINT: 17
0 22 2
22 254 3
254 299 4
299 557 5
557 827 6
827 874 7
874 904 8
904 1058 9
1058 1265 10
1265 1459 9
1459 1592 8
1592 1716 7
1716 1929 6
1929 2007 5
2007 2225 4
2225 2484 3
2484 300000 2
1 24 24
2 65 65
3 19 31
4 5 23
5 91 91
6 47 66
7 20 47
8 38 113
9 67 148
10 17 44
11 15 29
12 81 184
13 83 201
14 74 244
15 70 174
16 6 78
17 17 154
18 25 59
19 96 232
20 75 262
21 95 251
22 14 302
23 57 113
24 19 241
25 54 137
26 12 41
27 26 539
28 42 534
29 58 230
30 86 466
31 1 524
32 40 372
33 34 151
34 77 640
35 91 122
36 25 301
37 52 65
38 15 123
39 66 642
40 18 479
41 100 379
42 62 541
43 19 934
44 1 295
45 65 699
46 25 959
47 92 220
48 50 855
49 44 834
50 21 990
51 95 584
52 84 894
53 98 1080
54 42 1249
55 71 628
56 55 189
57 11 1291
58 83 1004
59 61 492
60 16 1359
