NOP: 45
NINT: 13
0 46 2
46 76 3
76 117 4
117 377 5
377 508 6
508 684 7
684 690 8
690 776 7
776 983 6
983 1166 5
1166 1170 4
1170 1313 3
1313 300000 2
1 69 70
2 85 86
3 60 75
4 39 66
5 45 113
6 15 43
7 28 149
8 100 138
9 16 202
10 43 50
11 96 112
12 85 237
13 4 71
14 66 291
15 78 97
16 39 304
17 59 328
18 69 431
19 6 427
20 51 167
21 43 348
22 5 331
23 22 465
24 51 78
25 57 293
26 94 497
27 8 510
28 33 625
29 36 418
30 72 643
31 59 91
32 65 290
33 59 553
34 26 469
35 17 437
36 33 648
37 3 533
38 93 538
39 23 317
40 47 474
41 70 150
42 39 715
43 13 834
44 12 680
45 93 446
