NOP: 60
NINT: 19
0 269 1
269 522 2
522 755 3
755 786 4
786 988 5
988 1192 6
1192 1240 7
1240 1356 8
1356 1523 9
1523 1594 10
1594 1696 9
1696 1989 8
1989 2226 7
2226 2255 6
2255 2483 5
2483 2518 4
2518 2552 3
2552 2605 2
2605 300000 1
1 76 76
2 22 31
3 21 26
4 55 56
5 71 82
6 25 65
7 78 79
8 20 62
9 27 182
10 60 73
11 23 105
12 75 222
13 3 184
14 62 113
15 45 65
16 50 317
17 21 107
18 45 337
19 27 297
20 9 358
21 57 307
22 84 212
23 39 140
24 36 448
25 58 246
26 26 117
27 74 512
28 20 204
29 22 223
30 91 154
31 84 159
32 40 375
33 59 135
34 42 577
35 93 622
36 33 171
37 42 267
38 96 609
39 50 509
40 95 615
41 25 121
42 72 864
43 97 901
44 25 184
45 31 180
46 95 736
47 45 613
48 45 381
49 98 451
50 61 64
51 47 1195
52 39 856
53 46 1247
54 29 866
55 44 978
56 31 537
57 20 284
58 87 218
59 21 1233
60 99 1119
