NOP: 60
NINT: 19
0 33 1
33 55 2
55 152 3
152 296 4
296 375 5
375 626 6
626 682 7
682 906 8
906 957 9
957 1221 10
1221 1315 9
1315 1552 8
1552 1797 7
1797 2035 6
2035 2041 5
2041 2299 4
2299 2501 3
2501 2673 2
2673 300000 1
1 5 6
2 84 84
3 30 40
4 21 32
5 47 59
6 95 96
7 25 119
8 80 150
9 13 73
10 52 164
11 91 169
12 55 58
13 3 227
14 63 261
15 75 108
16 16 285
17 36 99
18 36 354
19 82 90
20 62 378
21 95 106
22 13 259
23 4 206
24 33 177
25 40 397
26 20 327
27 68 380
28 14 546
29 19 353
30 86 503
31 77 128
32 75 360
33 38 536
34 94 707
35 6 332
36 40 91
37 57 465
38 66 526
39 45 831
40 89 318
41 52 453
42 38 428
43 76 902
44 67 390
45 2 511
46 57 328
47 74 352
48 18 980
49 25 378
50 83 1060
51 27 1187
52 58 155
53 19 994
54 99 250
55 99 396
56 53 66
57 7 422
58 53 809
59 19 637
60 19 38
