NOP: 45
NINT: 15
0 254 1
254 511 2
511 828 3
828 895 4
895 1158 5
1158 1314 6
1314 1462 7
1462 1758 8
1758 1779 7
1779 1978 6
1978 2061 5
2061 2320 4
2320 2420 3
2420 2726 2
2726 300000 1
1 62 62
2 27 29
3 11 30
4 59 60
5 28 73
6 47 60
7 58 72
8 49 93
9 32 100
10 80 183
11 25 151
12 50 126
13 73 107
14 87 258
15 7 219
16 64 219
17 47 259
18 56 209
19 51 171
20 72 167
21 3 219
22 47 299
23 57 108
24 93 424
25 97 432
26 98 365
27 43 101
28 42 562
29 95 481
30 52 119
31 66 203
32 36 295
33 5 372
34 84 236
35 81 638
36 97 227
37 87 818
38 100 160
39 73 367
40 74 192
41 90 272
42 18 184
43 72 552
44 18 574
45 56 305
