NOP: 60
NINT: 18
0 203 1
203 237 2
237 415 3
415 538 4
538 703 5
703 982 6
982 1145 7
1145 1329 8
1329 1418 9
1418 1427 10
1427 1709 9
1709 1745 8
1745 1996 7
1996 2143 6
2143 2318 5
2318 2593 4
2593 2776 3
2776 300000 2
1 87 88
2 94 94
3 33 47
4 50 53
5 23 122
6 92 128
7 5 148
8 20 125
9 25 74
10 68 88
11 40 138
12 7 222
13 26 254
14 97 221
15 22 43
16 60 103
17 33 162
18 85 124
19 24 71
20 75 124
21 32 46
22 57 141
23 6 372
24 10 305
25 77 379
26 58 299
27 70 284
28 86 571
29 1 22
30 32 643
31 74 626
32 42 262
33 11 270
34 84 114
35 52 496
36 22 475
37 73 745
38 4 193
39 13 581
40 64 531
41 1 698
42 33 409
43 96 195
44 60 924
45 93 786
46 22 1054
47 26 923
48 62 479
49 23 52
50 13 493
51 79 175
52 2 276
53 89 186
54 2 1003
55 58 814
56 97 1089
57 77 181
58 85 935
59 22 66
60 53 275
