NOP: 45
NINT: 14
0 129 2
129 430 3
430 604 4
604 840 5
840 1135 6
1135 1423 7
1423 1515 8
1515 1700 7
1700 1760 6
1760 1811 5
1811 2008 4
2008 2278 3
2278 2354 2
2354 300000 1
1 12 13
2 31 32
3 71 71
4 6 10
5 65 66
6 73 77
7 54 54
8 85 127
9 13 131
10 11 41
11 52 87
12 31 168
13 80 99
14 73 79
15 14 267
16 25 196
17 48 106
18 41 150
19 81 155
20 92 325
21 65 329
22 69 132
23 82 200
24 58 457
25 48 585
26 91 274
27 88 651
28 95 435
29 91 502
30 1 382
31 22 297
32 69 403
33 77 717
34 69 292
35 28 840
36 67 593
37 34 622
38 93 272
39 92 324
40 36 361
41 44 1023
42 70 431
43 80 394
44 91 562
45 76 572
