NOP: 45
NINT: 15
0 80 1
80 116 2
116 190 3
190 417 4
417 704 5
704 1005 6
1005 1015 7
1015 1154 8
1154 1450 7
1450 1570 6
1570 1697 5
1697 1897 4
1897 2141 3
2141 2335 2
2335 300000 1
1 98 99
2 67 68
3 18 31
4 36 62
5 75 105
6 78 116
7 54 182
8 20 141
9 65 212
10 99 186
11 22 276
12 62 238
13 59 174
14 2 139
15 42 180
16 71 196
17 11 289
18 71 246
19 50 387
20 18 249
21 96 315
22 70 269
23 75 132
24 69 559
25 40 585
26 33 675
27 64 443
28 62 716
29 82 591
30 48 160
31 47 389
32 76 751
33 28 137
34 21 524
35 17 642
36 63 193
37 88 499
38 11 292
39 58 278
40 64 644
41 58 401
42 87 121
43 71 263
44 96 435
45 29 205
