NOP: 60
NINT: 17
0 217 2
217 363 3
363 500 4
500 501 5
501 528 6
528 540 7
540 737 8
737 789 9
789 838 10
838 886 9
886 1109 8
1109 1118 7
1118 1197 6
1197 1352 5
1352 1596 4
1596 1687 3
1687 300000 2
1 84 84
2 27 34
3 7 49
4 37 51
5 52 61
6 9 35
7 65 86
8 65 134
9 46 124
10 23 72
11 18 29
12 41 100
13 87 234
14 87 140
15 88 181
16 7 255
17 33 325
18 35 112
19 66 253
20 12 420
21 19 168
22 76 281
23 1 363
24 12 242
25 57 436
26 28 518
27 60 494
28 62 495
29 59 275
30 36 172
31 57 375
32 97 321
33 61 502
34 42 639
35 20 647
36 21 193
37 40 130
38 33 150
39 95 833
40 11 702
41 31 331
42 99 564
43 27 283
44 46 730
45 87 809
46 18 94
47 68 781
48 16 449
49 67 907
50 80 120
51 67 961
52 2 734
53 74 406
54 68 341
55 14 649
56 75 1072
57 76 209
58 61 1281
59 74 948
60 7 593
