NOP: 45
NINT: 14
0 256 1
256 538 2
538 594 3
594 678 4
678 725 5
725 835 6
835 1078 7
1078 1228 8
1228 1249 7
1249 1517 6
1517 1766 5
1766 1936 4
1936 2036 3
2036 300000 2
1 92 93
2 64 65
3 79 80
4 34 35
5 54 133
6 33 90
7 59 84
8 54 99
9 89 161
10 31 162
11 55 293
12 93 296
13 58 64
14 70 335
15 10 265
16 35 339
17 48 78
18 30 393
19 86 458
20 32 451
21 43 425
22 13 314
23 83 284
24 79 616
25 66 239
26 27 432
27 25 690
28 56 700
29 13 32
30 21 228
31 94 179
32 87 203
33 98 852
34 62 767
35 28 756
36 60 633
37 29 116
38 99 776
39 61 607
40 28 808
41 52 389
42 36 66
43 86 871
44 4 175
45 55 624
