NOP: 60
NINT: 18
0 23 1
23 97 2
97 312 3
312 499 4
499 674 5
674 953 6
953 1023 7
1023 1309 8
1309 1439 9
1439 1670 10
1670 1822 9
1822 2125 8
2125 2396 7
2396 2478 6
2478 2511 5
2511 2581 4
2581 2880 3
2880 300000 2
1 100 100
2 87 88
3 54 62
4 71 74
5 97 153
6 1 34
7 75 182
8 31 196
9 68 115
10 43 93
11 83 122
12 26 83
13 97 238
14 91 401
15 2 56
16 94 340
17 81 246
18 83 370
19 96 143
20 31 463
21 86 236
22 30 338
23 8 492
24 58 167
25 23 553
26 30 352
27 9 619
28 34 702
29 97 479
30 58 769
31 10 698
32 29 191
33 15 263
34 53 130
35 37 423
36 39 668
37 76 803
38 61 404
39 54 533
40 28 758
41 88 322
42 58 214
43 52 261
44 30 664
45 45 63
46 95 441
47 50 1029
48 80 1083
49 43 232
50 2 129
51 15 82
52 76 304
53 78 413
54 82 742
55 43 897
56 7 1210
57 70 161
58 5 251
59 66 1350
60 17 920
