NOP: 60
NINT: 18
0 141 2
141 323 3
323 477 4
477 612 5
612 796 6
796 969 7
969 1255 8
1255 1499 9
1499 1717 10
1717 1772 9
1772 2030 8
2030 2206 7
2206 2217 6
2217 2395 5
2395 2682 4
2682 2740 3
2740 2750 2
2750 300000 1
1 82 82
2 13 31
3 48 49
4 35 52
5 3 79
6 31 88
7 18 30
8 30 52
9 21 94
10 68 103
11 3 65
12 53 132
13 65 119
14 99 211
15 45 66
16 13 38
17 29 305
18 86 250
19 12 300
20 81 233
21 73 334
22 4 285
23 33 342
24 46 211
25 84 392
26 56 313
27 3 7
28 95 464
29 56 306
30 81 598
31 92 531
32 24 94
33 36 660
34 43 693
35 41 97
36 35 374
37 77 744
38 2 750
39 83 534
40 32 491
41 19 619
42 100 214
43 60 518
44 14 905
45 29 947
46 13 124
47 33 550
48 6 604
49 19 849
50 91 637
51 94 156
52 17 824
53 81 173
54 85 229
55 63 618
56 56 954
57 96 596
58 6 489
59 80 1238
60 95 1125
