NOP: 45
NINT: 14
0 125 2
125 199 3
199 225 4
225 229 5
229 361 6
361 422 7
422 579 8
579 823 7
823 1091 6
1091 1401 5
1401 1630 4
1630 1884 3
1884 2055 2
2055 300000 1
1 76 77
2 88 89
3 46 81
4 44 45
5 52 93
6 75 96
7 54 127
8 88 135
9 90 166
10 11 91
11 18 288
12 59 90
13 55 123
14 74 367
15 72 408
16 2 306
17 32 227
18 100 213
19 99 239
20 81 155
21 3 86
22 25 221
23 59 323
24 39 532
25 27 338
26 15 246
27 60 660
28 80 324
29 66 384
30 94 580
31 7 704
32 7 735
33 56 204
34 60 198
35 85 629
36 35 44
37 74 97
38 43 961
39 65 897
40 51 53
41 48 222
42 93 425
43 43 612
44 53 1047
45 100 748
